Source,Target,Weight_n1,Weight_n2, Weight
9279008,16191901,14306.582417582418,0.9196890898892756,1301899
4728396,7978583,745.1355236139631,0.24821557923307014,362881
14862237,5127933,1366.7396694214876,0.8014922371198224,330751
7367446,2701588,341.74948024948026,0.5688344674968293,328763
4728396,3399111,653.9301848049281,0.21783374225952984,318464
5127933,14862237,971.9330985915493,0.7472016718234408,276029
4728396,35705552,562.570841889117,0.18740060425771174,273972
264983,3184084,540.7379912663755,0.6131529626722851,247658
16335191,17133819,12222.842105263158,0.999896666637963,232234
21987980,36180032,785.5324232081912,0.9955749532839643,230161
20232054,26832194,446.7303609341826,0.9479208902103888,210410
56122907,23965423,2733.3698630136987,0.9434593889188346,199536
4728396,2700969,405.32032854209444,0.13501815030380468,197391
27130805,27346022,5743.78125,0.49997415816833096,183801
27130805,27588149,5743.78125,0.49997415816833096,183801
10911471,10463523,2020.5955056179776,0.14361455751194704,179833
41983496,10463523,2097.7831325301204,0.1444986829503903,174116
34766673,10463523,2496.6666666666665,0.14535909019570784,172270
7318424,49494559,681.2246696035243,0.5141061870407926,154638
8173037,35705552,430.8022922636103,0.9065147267191221,150350
4728396,2946171,306.06776180698154,0.10195566359932118,149055
11319931,6534442,184.3569587628866,0.8745094443425637,143061
12310229,5682723,378.2049180327869,0.9677020196724062,138423
22275019,32710951,856.5102040816327,0.8841038676516024,125907
4728396,984460,257.35728952772075,0.08572949036190482,125333
11104040,5682723,439.7077464788732,0.9856272395775781,124877
264983,36653084,267.7227074235808,0.3035758054413247,122617
145462,5682723,348.27953890489914,0.9786698194951695,120853
24902505,12092284,308.14102564102564,0.986213122153379,120175
28540997,31663626,477.2742616033755,0.09091581321403483,113114
28540997,41983496,477.1645569620253,0.09089491561388308,113088
28540997,10463523,477.15611814345993,0.0908933081061791,113086
28540997,10911471,477.13502109704643,0.09088928933691914,113081
28540997,42277007,477.126582278481,0.09088768182921517,113079
28540997,12301046,477.1223628691983,0.09088687807536318,113078
28540997,26123734,477.1097046413502,0.0908844668138072,113075
28540997,32611599,477.1097046413502,0.0908844668138072,113075
28540997,11439285,477.1054852320675,0.09088366305995521,113074
28540997,34766673,477.1054852320675,0.09088366305995521,113074
28540997,44213747,477.1012658227848,0.09088285930610322,113073
44213747,10463523,1914.396551724138,0.1495545756009256,111035
5104208,5682723,706.8039215686274,0.9929482411921879,108141
26123734,34766673,1633.7424242424242,0.09094313428971208,107827
26123734,41983496,1633.3333333333333,0.09092036202835062,107800
26123734,28540997,1633.2727272727273,0.09091698836000077,107796
26123734,10463523,1633.121212121212,0.09090855418912616,107786
26123734,31663626,1633.121212121212,0.09090855418912616,107786
26123734,11439285,1633.090909090909,0.09090686735495124,107784
26123734,42277007,1632.9545454545455,0.09089927660116408,107775
26123734,12301046,1632.939393939394,0.09089843318407663,107774
26123734,44213747,1632.909090909091,0.0908967463499017,107772
26123734,32611599,1632.8939393939395,0.09089590293281424,107771
26123734,10911471,1632.8636363636363,0.09089421609863932,107769
10911471,42277007,1205.1011235955057,0.08565299890112699,107254
10911471,28540997,1204.9775280898875,0.08564421430579336,107243
10911471,41983496,1204.9550561797753,0.0856426171066418,107241
10911471,31663626,1204.8539325842696,0.08563542971045973,107232
10911471,34766673,1204.8539325842696,0.08563542971045973,107232
10911471,11439285,1204.8202247191011,0.08563303391173238,107229
10911471,12301046,1204.752808988764,0.08562824231427768,107223
10911471,44213747,1204.741573033708,0.08562744371470189,107222
10911471,32611599,1204.7078651685392,0.08562504791597454,107219
10911471,26123734,1204.5955056179776,0.0856170619202167,107209
13704182,18008151,1840.2931034482758,0.9985686219477968,106737
31663626,28540997,1282.0,0.09094611388889619,103842
31663626,44213747,1281.9012345679012,0.09093910738949218,103834
31663626,41983496,1281.530864197531,0.09091283301672715,103804
31663626,26123734,1281.432098765432,0.09090582651732314,103796
31663626,32611599,1281.3456790123457,0.09089969583034463,103789
31663626,34766673,1281.3456790123457,0.09089969583034463,103789
31663626,10463523,1281.320987654321,0.09089794420549362,103787
31663626,10911471,1281.2592592592594,0.09089356514336612,103782
31663626,12301046,1281.2592592592594,0.09089356514336612,103782
31663626,11439285,1281.2469135802469,0.09089268933094061,103781
31663626,42277007,1281.2222222222222,0.09089093770608961,103779
41983496,28540997,1242.132530120482,0.08556009049217986,103097
41983496,32611599,1242.0481927710844,0.08555428119963551,103090
41983496,26123734,1242.0240963855422,0.0855526214017657,103088
41983496,12301046,1242.012048192771,0.08555179150283078,103087
41983496,34766673,1241.9759036144578,0.08554930180602606,103084
41983496,10911471,1241.9397590361446,0.08554681210922134,103081
41983496,31663626,1241.9036144578313,0.08554432241241662,103078
41983496,11439285,1241.8433734939758,0.08554017291774207,103073
41983496,42277007,1241.8072289156626,0.08553768322093735,103070
41983496,44213747,1241.7951807228915,0.08553685332200245,103069
34766673,26123734,1468.4347826086957,0.08549412977772977,101322
34766673,41983496,1468.0,0.08546881618449897,101292
34766673,28540997,1467.8985507246377,0.08546290967941178,101285
34766673,31663626,1467.8985507246377,0.08546290967941178,101285
34766673,32611599,1467.8260869565217,0.08545869074720665,101280
34766673,11439285,1467.7971014492753,0.08545700317432459,101278
34766673,12301046,1467.768115942029,0.08545531560144254,101276
34766673,42277007,1467.7536231884058,0.08545447181500151,101275
34766673,10911471,1467.7246376811595,0.08545278424211945,101273
34766673,44213747,1467.7246376811595,0.08545278424211945,101273
2600924,5682723,288.88115942028986,0.28550557323700365,99664
16191901,9279008,715.589928057554,0.758641466837513,99467
1472457,35705552,197.61324786324786,0.3263971483527149,92483
