Source,Target,Weight_n,Weight
44213747,11439285,1088.3103448275863,63122
1278761,5682723,185.62762762762762,61814
35626430,609461,4537.076923076923,58982
2569693,34559523,431.97777777777776,58317
27128027,23773276,1021.290909090909,56171
32111894,23965423,381.1506849315069,55648
25230870,84369,136.01477832512316,55222
35705552,1472457,33.055255255255254,55037
25230870,883029,135.3694581280788,54960
13083157,28629851,998.0363636363636,54892
11439285,44213747,737.4324324324324,54570
11439285,28540997,737.4054054054054,54568
11439285,12301046,737.3918918918919,54567
11439285,31663626,737.3918918918919,54567
11439285,34766673,737.3783783783783,54566
11439285,41983496,737.3783783783783,54566
11439285,42277007,737.3783783783783,54566
11439285,10463523,737.3648648648649,54565
11439285,10911471,737.3648648648649,54565
11439285,26123734,737.3648648648649,54565
11439285,32611599,737.3648648648649,54565
12979607,16167364,455.327731092437,54184
12979607,2011786,455.30252100840335,54181
12979607,2919594,455.2268907563025,54172
12979607,11925945,455.21008403361344,54170
14870029,13967835,1530.4857142857143,53567
10463523,28540997,821.7384615384616,53413
10463523,41983496,821.6461538461539,53407
10463523,26123734,821.5692307692308,53402
10463523,12301046,821.4615384615385,53395
10463523,10911471,821.3538461538461,53388
10463523,34766673,821.2923076923076,53384
10463523,31663626,821.2615384615384,53382
10463523,32611599,821.2615384615384,53382
10463523,44213747,821.2615384615384,53382
10463523,11439285,821.2461538461539,53381
10463523,42277007,821.2307692307693,53380
38816004,14237598,445.03361344537814,52959
46048747,5682723,337.98692810457516,51712
2569693,24651533,380.5777777777778,51378
2569693,6140164,378.93333333333334,51156
2569693,41858165,378.8296296296296,51142
2569693,7013659,378.81481481481484,51140
2569693,28124882,377.7111111111111,50991
2569693,16335633,376.2814814814815,50798
2569693,8029413,372.6666666666667,50310
7060416,47886627,248.318407960199,49912
2946171,7976814,74.20845921450152,49126
38287903,30441767,52.46573875802998,49003
7060416,16658622,239.11940298507463,48063
38287903,35062183,49.6220556745182,46347
64839681,51217011,164.18794326241135,46301
2774140,28704387,205.86607142857142,46114
38287903,2946171,49.01605995717345,45781
38287903,40088316,48.598501070663815,45391
32611599,28540997,423.9626168224299,45364
32611599,42277007,423.74766355140184,45341
32611599,41983496,423.70093457943926,45336
32611599,10463523,423.67289719626166,45333
32611599,11439285,423.66355140186914,45332
32611599,26123734,423.6542056074766,45331
32611599,31663626,423.6448598130841,45330
32611599,44213747,423.6448598130841,45330
32611599,10911471,423.6355140186916,45329
32611599,12301046,423.6355140186916,45329
32611599,34766673,423.6355140186916,45329
7060416,29519065,223.83582089552237,44991
7060416,20136360,223.82587064676616,44989
7060416,42495813,223.44278606965173,44912
18008151,13704182,232.279792746114,44830
18008151,28556812,230.58031088082902,44502
7318424,34698409,194.19823788546256,44083
9279008,12296302,484.25274725274727,44067
23773276,27128027,421.265306122449,41284
609461,35626430,297.6204379562044,40774
22658203,26372167,385.53333333333336,40481
29519065,7060416,2364.176470588235,40191
18123618,22581341,168.3872340425532,39571
23965423,35090724,284.57553956834533,39556
10184754,5682723,244.1069182389937,38813
22251262,10460255,66.09548611111111,38071
36180032,21987980,664.0357142857143,37186
4862335,12301054,113.86687306501548,36779
26868560,4964590,108.0,36612
12092284,24902505,87.96135265700484,36416
14708925,5699990,97.06868131868131,35333
14708925,48187768,97.06318681318682,35331
14708925,48895381,97.06318681318682,35331
14708925,10803777,97.0521978021978,35327
663987,4297815,1515.695652173913,34861
2946171,1472457,51.404833836858,34030
38816004,19162040,285.8235294117647,34013
16167364,2919594,398.4404761904762,33469
16167364,2011786,398.29761904761904,33457
16167364,11925945,397.4642857142857,33387
2946171,4728396,50.37009063444109,33345
12301046,26123734,481.39130434782606,33216
12301046,31663626,481.3478260869565,33213
12301046,28540997,481.3333333333333,33212
12301046,41983496,481.3188405797101,33211
12301046,34766673,481.30434782608694,33210
12301046,42277007,481.2173913043478,33204
12301046,11439285,481.2028985507246,33203
12301046,32611599,481.2028985507246,33203
12301046,44213747,481.2028985507246,33203
12301046,10911471,481.18840579710144,33202
520444,540523,48.9907120743034,31648
17133819,16335191,1264.24,31606
520444,18160248,48.856037151702786,31561
40752074,64839681,211.38926174496643,31497
40752074,51217011,211.08724832214764,31452
11948565,11319931,114.73180076628353,29945
11948565,6534442,114.59003831417624,29908
4340671,9273229,898.7878787878788,29660
51217011,64839681,157.91978609625667,29531
35632385,10087253,596.204081632653,29214
30776378,609461,1692.1764705882354,28767
38816004,16335474,237.0924369747899,28214
38816004,52624555,233.92436974789916,27837
9751052,11319931,171.8679245283019,27327
9751052,6534442,171.74213836477986,27307
9877008,50968519,87.88636363636364,27069
24651533,34559523,130.22549019607843,26566
16658622,7060416,1555.5294117647059,26444
35090724,23965423,467.0357142857143,26154
36526863,20687019,50.60077519379845,26110
24651533,8029413,123.6029411764706,25215
10035397,7060416,356.9852941176471,24275
42277007,10463523,494.0612244897959,24209
24651533,7013659,118.06862745098039,24086
24651533,6140164,117.93627450980392,24059
24651533,41858165,117.75490196078431,24022
24651533,28124882,117.3970588235294,23949
24651533,16335633,116.8970588235294,23847
24651533,2569693,116.76470588235294,23820
5231721,28124882,188.896,23612
5231721,25703835,188.712,23589
17839641,7367446,28.372881355932204,23436
6942983,9273229,1170.5,23410
35705552,50354362,13.423423423423424,22350
8143711,2848911,155.94405594405595,22300
2181526,11319931,101.74311926605505,22180
38816004,23636001,185.8403361344538,22115
2181526,6534442,100.61009174311927,21933
22251262,35705552,37.671875,21699
7977566,14867948,87.94715447154472,21635
17069553,23965423,633.9411764705883,21554
55133264,7623152,119.2,21456
2011786,2919594,153.8905109489051,21083
2011786,16167364,153.77372262773721,21067
609461,20462228,153.15328467153284,20982
2011786,11925945,152.4890510948905,20891
44283910,28274343,495.4761904761905,20810
13967835,14870029,1296.5625,20745
23965423,56122907,146.84892086330936,20412
609461,30776378,148.92700729927006,20403
10402776,33060387,86.26271186440678,20358
23603576,37958095,311.9076923076923,20274
7013659,34559523,46.73210161662818,20235
64839681,58894193,71.54609929078015,20176
26832194,20232054,340.728813559322,20103
23395062,640144,87.77729257641921,20101
50748556,20352823,1432.357142857143,20053
50748556,24913968,1432.357142857143,20053
50748556,39800047,1432.357142857143,20053
50748556,43038177,1432.357142857143,20053
1472457,2946171,42.3525641025641,19821
23965423,32111894,141.38129496402877,19652
17135637,2011786,218.32584269662922,19431
17135637,16167364,218.31460674157304,19430
17135637,2919594,217.76404494382024,19381
7013659,6140164,44.28175519630485,19174
17135637,11925945,215.0,19135
32263503,75496064,476.7,19068
7013659,24651533,44.018475750577366,19060
7013659,41858165,44.004618937644345,19054
7013659,28124882,43.930715935334874,19022
7013659,16335633,43.78521939953811,18959
7013659,2569693,43.77829099307159,18956
7013659,8029413,43.7066974595843,18925
18019789,883029,70.85393258426966,18918
41858165,34559523,103.78021978021978,18888
38816004,46882440,158.26050420168067,18833
37948688,321575,285.44444444444446,17983
10087253,35632385,337.07547169811323,17865
14517828,16167364,301.64406779661016,17797
14517828,2919594,300.6271186440678,17737
14517828,2011786,300.52542372881356,17731
14517828,11925945,299.10169491525426,17647
264983,14708925,38.506550218340614,17636
41858165,28124882,96.68681318681318,17597
48186668,34826062,533.060606060606,17591
41858165,24651533,96.02197802197803,17476
41858165,6140164,95.52747252747253,17386
17839641,1833543,20.973365617433416,17324
41858165,7013659,94.9065934065934,17273
41858165,16335633,94.64285714285714,17225
41858165,2569693,94.54395604395604,17207
11319931,8670015,22.13659793814433,17178
22251262,5318011,29.755208333333332,17139
57206098,34826062,1070.8125,17133
41858165,8029413,93.36263736263736,16992
13962997,9273229,772.1363636363636,16987
26372167,39731454,143.635593220339,16949
7976814,38287903,62.923371647509576,16423
6140164,34559523,103.94267515923566,16319
2919594,2011786,270.28333333333336,16217
2919594,11925945,270.25,16215
2919594,16167364,270.25,16215
22275019,44515085,109.93197278911565,16160
26372299,7523235,69.1896551724138,16052
37958095,9472791,181.8181818181818,16000
37958095,37182148,181.13636363636363,15940
37958095,23603576,180.79545454545453,15910
50354362,35705552,74.6842105263158,15609
28124882,8029413,93.94578313253012,15595
64839681,40752074,54.843971631205676,15466
50354362,3399111,73.93301435406698,15452
42527034,11319931,665.7826086956521,15313
42527034,6534442,665.7391304347826,15312
57208827,34826062,847.1111111111111,15248
39069465,22161365,125.74166666666666,15089
17839641,38287903,18.26271186440678,15085
2349742,4482380,469.84375,15035
2349742,16586408,469.8125,15034
2349742,17564942,469.8125,15034
22505468,16935775,313.6595744680851,14742
11925945,2919594,300.7755102040816,14738
11925945,16167364,300.6734693877551,14733
11925945,2011786,300.6326530612245,14731
16335633,34559523,130.55357142857142,14622
26284830,23398545,90.18518518518519,14610
26284830,23131842,90.10493827160494,14597
26284830,12623153,90.0925925925926,14595
35705552,7367446,8.736336336336336,14546
6140164,24651533,90.68789808917198,14238
6140164,7013659,90.59235668789809,14223
16335633,24651533,126.9375,14217
6140164,41858165,90.171974522293,14157
6140164,28124882,89.78980891719745,14097
35705552,7013659,8.422822822822823,14024
32111894,35090724,95.92465753424658,14005
6140164,16335633,89.18471337579618,14002
6140164,2569693,88.98089171974522,13970
6140164,8029413,88.61783439490446,13913
34826062,57206098,661.7619047619048,13897
34826062,57208827,659.8571428571429,13857
34826062,48186668,659.3333333333334,13846
11041558,26062756,237.3793103448276,13768
22251262,38287903,23.85763888888889,13742
27133904,8869917,105.04651162790698,13551
27133904,34536495,105.04651162790698,13551
27133904,39934434,104.94573643410853,13538
16335633,41858165,120.50892857142857,13497
27133904,28274342,103.94573643410853,13409
16335633,28124882,119.71428571428571,13408
16335633,6140164,119.5625,13391
22251262,10624592,23.166666666666668,13344
16335633,2569693,118.42857142857143,13264
16335633,7013659,118.21428571428571,13240
1549494,8670015,275.4583333333333,13222
30152302,29864143,452.3448275862069,13118
16335633,8029413,116.11607142857143,13005
32081041,264983,46.23487544483986,12992
58894193,35705552,50.86290322580645,12614
58894193,42063672,50.61290322580645,12552
58894193,6540862,50.58467741935484,12545
22251262,10789152,21.756944444444443,12532
58894193,16919964,50.431451612903224,12507
22658203,39731454,119.05714285714286,12501
58894193,49376849,50.375,12493
58894193,16242303,50.318548387096776,12479
58894193,30152302,50.306451612903224,12476
22251262,62172543,21.65625,12474
22251262,33407475,21.640625,12465
58894193,20232054,50.189516129032256,12447
22251262,26868560,21.598958333333332,12441
58894193,20675224,50.08870967741935,12422
58894193,407760,50.056451612903224,12414
58894193,29532138,50.03225806451613,12408
58894193,3775213,50.028225806451616,12407
51217011,58894193,66.20855614973262,12381
22251262,2011786,21.493055555555557,12380
22251262,52928340,21.463541666666668,12363
56306656,31853150,273.8636363636364,12050
56306656,36714018,273.02272727272725,12013
56306656,13566264,272.4318181818182,11987
22251262,7367446,20.802083333333332,11982
42277007,11439285,243.3673469387755,11925
42277007,28540997,243.3673469387755,11925
42277007,10911471,243.3469387755102,11924
42277007,31663626,243.28571428571428,11921
42277007,34766673,243.28571428571428,11921
42277007,41983496,243.28571428571428,11921
42277007,12301046,243.26530612244898,11920
42277007,26123734,243.26530612244898,11920
42277007,32611599,243.26530612244898,11920
42277007,44213747,243.26530612244898,11920
17839641,321575,14.424939467312349,11915
17372706,23396716,191.6451612903226,11882
17372706,13854791,191.6290322580645,11881
17372706,26856883,191.6290322580645,11881
17372706,30784583,191.6290322580645,11881
17372706,55426849,191.6290322580645,11881
17372706,56216918,191.6290322580645,11881
22736401,32263503,1976.6666666666667,11860
56122907,46391215,162.45205479452054,11859
16191901,6534442,83.92086330935251,11665
28760030,4297815,770.8,11562
69359220,51397989,880.1538461538462,11442
3662711,42962241,130.98850574712642,11396
3662711,21333333,130.97701149425288,11395
3662711,27639580,130.9655172413793,11394
894421,1984260,1399.25,11194
46506293,29636087,587.7894736842105,11168
63990238,27470086,103.03703703703704,11128
63990238,6711783,102.98148148148148,11122
63990238,21077675,102.98148148148148,11122
63990238,52933854,102.98148148148148,11122
63990238,61661593,102.98148148148148,11122
63990238,73330339,102.98148148148148,11122
